Order_ID,Order_Date,Customer_Age,Gender,Location,Product_Category,Quantity,Unit_Price
ORD10000,2025-11-20,56,Non-binary,Chicago,Electronics,2,1099.99
ORD10001,2025-07-29,57,Male,New York,Electronics,2,1099.99
ORD10002,2025-05-24,29,Male,New York,Electronics,3,49.99
ORD10003,2025-11-17,58,Female,Los Angeles,Beauty,3,29.99
ORD10004,2025-05-18,31,Female,Houston,Clothing,2,14.99
ORD10005,2025-08-11,41,Male,Houston,Electronics,2,49.99
ORD10006,2025-08-24,29,Female,Los Angeles,Clothing,2,14.99
ORD10007,2025-11-28,36,Male,Los Angeles,Clothing,5,14.99
ORD10008,2025-04-07,22,Male,Houston,Clothing,4,14.99
ORD10009,2025-02-21,64,Female,Seattle,Electronics,4,299.99
ORD10010,2025-07-16,19,Male,New York,Electronics,2,599.99
ORD10011,2025-02-12,35,Male,Seattle,Electronics,1,299.99
ORD10012,2025-10-05,65,Female,Seattle,Electronics,2,599.99
ORD10013,2025-09-03,54,Female,Los Angeles,Home & Kitchen,4,150.0
ORD10014,2025-03-21,33,Male,Seattle,Home & Kitchen,1,24.99
ORD10015,2025-01-23,24,Female,New York,Beauty,1,29.99
ORD10016,2025-04-25,19,Male,Houston,Clothing,3,89.99
ORD10017,2025-04-26,61,Male,Seattle,Electronics,2,49.99
ORD10018,2025-02-26,32,Male,Chicago,Home & Kitchen,5,24.99
ORD10019,2025-06-20,25,Male,New York,Electronics,2,599.99
ORD10020,2025-08-08,51,Male,Los Angeles,Beauty,3,29.99
ORD10021,2025-11-16,36,Male,New York,Home & Kitchen,3,12.99
ORD10022,2025-05-16,63,Female,New York,Clothing,3,39.99
ORD10023,2025-03-17,42,Male,Houston,Electronics,5,299.99
ORD10024,2025-08-07,64,Male,New York,Home & Kitchen,2,85.0
ORD10025,2025-07-17,40,Male,Houston,Beauty,5,18.5
ORD10026,2025-11-22,39,Male,Seattle,Clothing,4,14.99
ORD10027,2025-10-09,49,Female,Houston,Clothing,1,14.99
ORD10028,2025-10-25,63,Male,Miami,Clothing,2,19.99
ORD10029,2025-07-05,18,Male,New York,Home & Kitchen,2,12.99
ORD10030,2025-02-26,21,Female,Chicago,Clothing,4,89.99
ORD10031,2025-03-15,53,Non-binary,Houston,Clothing,2,39.99
ORD10032,2025-01-29,65,Male,Seattle,Clothing,1,14.99
ORD10033,2025-12-23,45,Male,Seattle,Electronics,4,299.99
ORD10034,2025-11-01,28,Male,Chicago,Clothing,2,19.99
ORD10035,2025-02-09,18,Female,Houston,Clothing,4,39.99
ORD10036,2025-03-13,65,Female,Chicago,Beauty,3,18.5
ORD10037,2025-08-16,59,Female,Chicago,Electronics,1,599.99
ORD10038,2025-11-25,20,Female,Los Angeles,Clothing,4,19.99
ORD10039,2025-08-05,61,Female,Houston,Home & Kitchen,2,150.0
ORD10040,2025-08-05,28,Male,New York,Beauty,2,29.99
ORD10041,2025-07-25,57,Male,Houston,Clothing,4,19.99
ORD10042,2025-09-02,38,Female,Houston,Beauty,1,29.99
ORD10043,2025-07-10,59,Male,Chicago,Electronics,1,299.99
ORD10044,2025-07-05,56,Female,Chicago,Electronics,3,599.99
ORD10045,2025-03-25,52,Male,Los Angeles,Electronics,2,1099.99
ORD10046,2025-10-10,30,Female,New York,Clothing,1,89.99
ORD10047,2025-10-19,54,Male,Houston,Electronics,3,299.99
ORD10048,2025-02-17,37,Male,Chicago,Home & Kitchen,5,12.99
ORD10049,2025-04-10,38,Female,Seattle,Home & Kitchen,1,85.0
ORD10050,2025-06-19,44,Female,Miami,Electronics,1,599.99
ORD10051,2025-10-28,42,Female,New York,Home & Kitchen,2,85.0
ORD10052,2025-12-16,47,Male,Seattle,Electronics,2,599.99
ORD10053,2025-12-15,59,Male,Seattle,Clothing,4,89.99
ORD10054,2025-03-09,39,Male,Miami,Beauty,4,9.99
ORD10055,2025-05-03,31,Non-binary,Miami,Electronics,5,599.99
ORD10056,2025-11-18,49,Male,New York,Clothing,5,89.99
ORD10057,2025-02-14,49,Male,Chicago,Clothing,2,89.99
ORD10058,2025-02-04,35,Female,Chicago,Electronics,2,299.99
ORD10059,2025-12-30,47,Male,Houston,Home & Kitchen,2,12.99
ORD10060,2025-03-05,54,Female,Chicago,Home & Kitchen,4,12.99
ORD10061,2025-11-14,61,Male,Chicago,Home & Kitchen,1,150.0
ORD10062,2025-12-16,44,Female,Chicago,Electronics,2,299.99
ORD10063,2025-12-25,53,Male,New York,Home & Kitchen,2,12.99
ORD10064,2025-10-19,43,Female,Los Angeles,Beauty,1,18.5
ORD10065,2025-06-28,47,Female,Miami,Beauty,1,9.99
ORD10066,2025-04-03,64,Male,Houston,Beauty,4,29.99
ORD10067,2025-06-18,22,Male,Miami,Beauty,4,29.99
ORD10068,2025-02-28,35,Female,Miami,Clothing,2,14.99
ORD10069,2025-11-24,31,Male,New York,Beauty,3,9.99
ORD10070,2025-08-09,48,Male,Los Angeles,Electronics,3,49.99
ORD10071,2025-05-10,58,Male,Los Angeles,Electronics,4,1099.99
ORD10072,2025-02-11,37,Female,Houston,Beauty,3,29.99
ORD10073,2025-04-05,21,Male,Houston,Home & Kitchen,2,150.0
ORD10074,2025-04-12,40,Female,Houston,Beauty,4,29.99
ORD10075,2025-07-01,62,Female,New York,Clothing,5,19.99
ORD10076,2025-11-12,27,Male,Seattle,Home & Kitchen,2,24.99
ORD10077,2025-08-23,27,Female,Chicago,Electronics,3,49.99
ORD10078,2025-09-24,64,Male,Houston,Clothing,5,14.99
ORD10079,2025-02-19,20,Male,Los Angeles,Beauty,5,29.99
ORD10080,2025-07-13,31,Male,Los Angeles,Electronics,3,1099.99
ORD10081,2025-01-09,37,Female,Miami,Electronics,4,49.99
ORD10082,2025-07-31,44,Male,Miami,Beauty,1,75.0
ORD10083,2025-04-01,47,Male,Los Angeles,Clothing,4,14.99
ORD10084,2025-05-26,60,Female,Houston,Home & Kitchen,1,24.99
ORD10085,2025-02-23,23,Female,Miami,Beauty,4,9.99
ORD10086,2025-11-16,52,Male,Houston,Electronics,4,1099.99
ORD10087,2025-04-19,32,Female,Miami,Beauty,2,9.99
ORD10088,2025-08-29,25,Male,Houston,Beauty,1,18.5
ORD10089,2025-07-11,32,Female,Chicago,Home & Kitchen,4,150.0
ORD10090,2025-12-11,33,Male,Houston,Electronics,1,299.99
ORD10091,2025-03-20,41,Female,Miami,Home & Kitchen,2,150.0
ORD10092,2025-10-20,45,Male,Houston,Clothing,1,14.99
ORD10093,2025-10-23,45,Male,Seattle,Beauty,4,29.99
ORD10094,2025-06-12,51,Male,Los Angeles,Electronics,5,599.99
ORD10095,2025-03-02,58,Female,Houston,Home & Kitchen,3,85.0
ORD10096,2025-04-15,23,Male,Houston,Electronics,1,599.99
ORD10097,2025-11-13,63,Female,New York,Beauty,2,9.99
ORD10098,2025-08-21,58,Female,Chicago,Clothing,2,39.99
ORD10099,2025-06-02,30,Female,Los Angeles,Beauty,1,75.0
ORD10100,2025-05-21,23,Female,Seattle,Electronics,1,299.99
